標的名稱,代碼,幣別,類型,成立日期,風險收益等級,配息頻率,淨值日期,淨值,三個月(%),六個月(%),一年(%),三年(%),成立以來(%),年化標準差,年化Sharpe,年化Beta,規模日期,基金規模,嘉實基金評等,備註
普徠仕（盧森堡）系列基金－普徠仕美國大型價值股票基金A級別(美元),MAR06-TFCK,美元,股票型,2003/01/02,RR4,無,2026/09/01,65.41,7.69,14.47,26.84,53.98,554.1,8.99,0.74,0.49,2026/06/30,552.00百萬,3.5,
富蘭克林華美第一富基金-A累積型(台幣),ACFT01-TFCL,台幣,國內股票開放型一般股票型,2002/12/13,RR4,無,2026/09/02,299.83,-0.24,48.53,140.06,236.96,2898.3,48.78,0.59,1.26,2026/07/31,60.2896億,3,
景順潛力基金,ACCS02-TFCN,台幣,國內股票開放型一般股票型,1995/08/09,RR4,無,2026/09/02,187.91,11.49,67.03,170.3,280.08,2818.53,43.53,0.73,1.32,2026/07/31,46.8208億,4.5,
凱基台灣精五門基金,ACKG15-TFCO,台幣,國內股票開放型一般股票型,2009/09/03,RR4,無,2026/09/02,190.86,-2.5,52.27,152.23,345.73,1808.6,45.52,0.66,1.19,2026/07/31,37.5268億,4.5,
高盛基金Ⅲ-高盛新興市場增強股票基金X股美元(本基金非屬環境、社會及治理相關主題之境外基金)(原名稱： NN(L)新興市場增強股票基金X股美元(本基金非屬環境、社會及治理相關主題之境外基金)),ANZ66-TFCX,美元,股票型,1994/07/04,RR5,無,2026/09/01,3287.14,-2.22,10.31,39.42,84.22,532.38,21.55,0.46,1.33,2026/06/30,"1,612.00百萬",3,
瀚亞外銷基金A類型–新台幣,ACCP04-TFD1,台幣,國內股票開放型一般股票型,1995/03/27,RR4,無,2026/09/02,302.54,0.12,53.51,146.97,271.63,2922.38,43.91,0.66,1.12,2026/07/31,140.705億,4,
瀚亞理財通基金A不配息(台幣)(原名稱：瀚亞理財通基金),ACCP15-TFD3,台幣,股票債券平衡型一般股票型,2000/11/16,RR4,無,2026/09/02,70.44,6.23,23.64,51.65,83.53,604.4,18.39,0.67,0.61,2026/07/31,71.7677億,1.5,
瀚亞歐洲基金,ACCP13-TFD4,台幣,跨國投資股票型區域型,2000/06/13,RR4,無,2026/09/01,19.03,2.37,2.92,11.22,36.03,90.3,9.65,0.3,0.73,2026/07/31,19.544億,2,
瀚亞菁華基金,ACCP07-TFD7,台幣,國內股票開放型一般股票型,1996/10/01,RR4,無,2026/09/02,162.95,-2.57,47.33,152.99,233.91,1529.5,50.49,0.61,1.27,2026/07/31,44.7413億,3,
瀚亞美國高科技基金A類型-新臺幣,ACCP16-TFD8,台幣,跨國投資股票型單一國家,2002/06/17,RR4,無,2026/09/01,151.93,-10.74,39.68,67.45,172.91,1419.3,42.01,0.41,3,2026/07/31,155.4455億,5,
瀚亞印度基金A類型-新臺幣,ACCP22-TFDA,台幣,跨國投資股票型單一國家,2005/06/06,RR5,無,2026/09/01,58.19,12.34,2.48,2.68,28.74,481.9,18.93,0.05,1.27,2026/07/31,130.8223億,1.5,
瀚亞股債入息組合基金A-新台幣(本基金並無保證收益及配息),ACCP21-TFDE,台幣,全球組合型平衡型,2005/01/31,RR3,無,2026/09/01,25.6972,-0.73,10.53,24.49,50.6,156.97,11.32,0.55,0.87,2026/07/31,27.9429億,4.5,
新台幣貨幣帳戶,TFDF-TFDF,台幣,貨幣帳戶,-,RR1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
